close,exe_price,impvol,ttm
0.5426,2.65,0.273339715,0.090410959
0.4877,2.7,0.246585286,0.090410959
0.4357,2.75,0.220981514,0.090410959
0.3848,2.8,0.195715674,0.090410959
0.338,2.85,0.171567442,0.090410959
0.287,2.9,0.145806267,0.090410959
0.2389,2.95,0.120410577,0.090410959
0.193,3,0.094749573,0.090410959
0.1117,3.1,0.041239424,0.090410959
0.0556,3.2,0.053509791,0.090410959
0.0241,3.3,0.082473791,0.090410959
0.009,3.4,0.103563867,0.090410959
0.0033,3.5,0.120806673,0.090410959
0.0013,3.6,0.136250149,0.090410959
0.7439,2.455,0.321355886,0.167123288
0.6989,2.504,0.302247591,0.167123288
0.6505,2.553,0.281554754,0.167123288
0.6,2.602,0.260046966,0.167123288
0.5656,2.65,0.245520383,0.167123288
0.5566,2.651,0.241741042,0.167123288
0.5056,2.7,0.220222091,0.167123288
0.5075,2.7,0.220990128,0.167123288
0.4531,2.749,0.19824528,0.167123288
0.4521,2.75,0.197826013,0.167123288
0.4096,2.798,0.179710033,0.167123288
0.4065,2.8,0.17846523,0.167123288
0.3593,2.847,0.158545326,0.167123288
0.3583,2.85,0.157964854,0.167123288
0.3192,2.896,0.14062516,0.167123288
0.309,2.9,0.136894206,0.167123288
0.2746,2.946,0.120637383,0.167123288
0.2676,2.95,0.117968407,0.167123288
0.2222,3,0.097229238,0.167123288
0.1875,3.044,0.080053908,0.167123288
0.1462,3.1,0.059858843,0.167123288
0.1198,3.142,0.053170883,0.167123288
0.0895,3.2,0.06134659,0.167123288
0.0713,3.24,0.069578338,0.167123288
0.051,3.3,0.081997874,0.167123288
0.0286,3.4,0.100128035,0.167123288
0.0168,3.5,0.116514501,0.167123288
0.0095,3.6,0.130193919,0.167123288
0.5963,2.65,0.238614099,0.416438356
0.5952,2.651,0.238209112,0.416438356
0.549,2.7,0.222995924,0.416438356
0.5496,2.7,0.223345129,0.416438356
0.5043,2.749,0.208661141,0.416438356
0.5031,2.75,0.208205294,0.416438356
0.4595,2.798,0.194237254,0.416438356
0.4577,2.8,0.193663453,0.416438356
0.4162,2.847,0.180580933,0.416438356
0.412,2.85,0.17890511,0.416438356
0.3743,2.896,0.167586955,0.416438356
0.374,2.9,0.168178601,0.416438356
0.3344,2.946,0.155737237,0.416438356
0.3283,2.95,0.153259702,0.416438356
0.2923,3,0.143402285,0.416438356
0.2583,3.044,0.133585895,0.416438356
0.2229,3.1,0.125602055,0.416438356
0.1973,3.142,0.120632434,0.416438356
0.1648,3.2,0.116190448,0.416438356
0.1488,3.24,0.11704474,0.416438356
0.1233,3.3,0.117772868,0.416438356
0.0915,3.4,0.123635219,0.416438356
0.0676,3.5,0.13096239,0.416438356
0.05,3.6,0.138658761,0.416438356
0.4295,2.9,0.229306827,0.665753425
0.3889,2.95,0.218022597,0.665753425
0.3588,3,0.213638064,0.665753425
0.2915,3.1,0.198397414,0.665753425
0.2371,3.2,0.189583898,0.665753425
0.1883,3.3,0.181904632,0.665753425
0.1507,3.4,0.178988239,0.665753425
0.1229,3.5,0.180088486,0.665753425
0.095,3.6,0.17810274,0.665753425
